State,District,Land area (square miles)
New York,13,10.25
New York,10,14.25
New York,15,14.54
New York,12,14.79
New York,9,15.54
New York,7,16.16
New York,14,28.29
New York,8,29.66
New York,6,29.78
California,12,38.97
California,34,47.66
New York,5,51.88
Illinois,4,52.45
New Jersey,8,54.69
California,37,55.26
California,40,57.69
Illinois,7,62.52
Massachusetts,7,62.67
New York,11,65.83
California,46,71.72
California,43,72.03
Pennsylvania,2,74.14
New Jersey,10,75.92
Pennsylvania,1,77.91
New York,16,78.37
California,44,79.36
California,29,92.03
New Jersey,9,95.34
Illinois,5,95.71
California,13,96.79
California,38,101.46
Nevada,1,104.50
Illinois,9,105.35
Florida,24,106.08
New York,4,110.85
California,32,124.23
Wisconsin,4,128.35
California,53,135.43
Minnesota,5,135.66
California,30,135.94
Washington,7,144.13
California,48,145.47
Virginia,8,149.24
Pennsylvania,13,155.18
Texas,7,161.94
Arizona,9,164.79
Texas,9,165.64
California,35,168.88
Florida,23,169.10
Florida,22,172.88
California,6,175.04
New York,2,182.01
Washington,9,183.43
Michigan,9,183.59
California,17,184.85
Michigan,13,184.85
Virginia,11,185.09
Texas,32,185.66
Michigan,14,185.73
Florida,13,186.03
Texas,29,187.07
Colorado,1,189.62
Texas,20,199.68
California,39,204.40
Arizona,7,205.12
Illinois,8,205.52
Florida,27,208.84
Hawaii,1,209.22
Pennsylvania,14,209.29
Texas,33,211.94
New Jersey,6,215.55
California,47,216.21
California,31,218.24
California,28,218.45
New York,26,219.13
Missouri,1,225.36
Ohio,3,228.00
Texas,18,235.20
Illinois,3,237.18
Ohio,11,244.46
New York,3,254.92
Illinois,1,258.38
California,14,259.50
Florida,21,260.97
Texas,24,262.76
Georgia,5,264.91
Massachusetts,5,265.08
Florida,14,265.40
California,52,267.00
Rhode Island,1,268.49
Illinois,11,280.95
California,33,288.58
Arizona,5,293.47
Maryland,4,297.81
Georgia,6,298.76
Illinois,10,299.78
Indiana,7,303.84
Maryland,3,304.14
Texas,2,308.75
California,41,316.54
Kentucky,3,319.34
Massachusetts,8,326.37
California,45,330.39
Minnesota,4,332.49
Colorado,7,342.11
Maryland,2,348.88
New Jersey,1,350.02
Texas,30,356.27
Illinois,6,378.78
New York,17,382.63
Georgia,7,392.61
Michigan,12,403.21
New Jersey,12,412.23
Michigan,11,419.26
Connecticut,4,460.73
Ohio,9,464.65
Missouri,2,465.76
Connecticut,3,470.34
Colorado,6,474.66
Texas,3,480.88
Tennessee,9,483.39
Maryland,7,488.03
California,11,493.61
Georgia,4,496.60
New Jersey,11,504.97
Nebraska,2,509.74
New York,25,510.19
Florida,7,513.58
Massachusetts,6,526.79
Minnesota,3,527.05
Arizona,8,539.66
California,7,548.65
North Carolina,12,549.66
California,49,553.08
Texas,35,593.77
California,15,599.45
Arizona,6,625.07
New York,1,650.02
Massachusetts,4,668.27
Connecticut,1,675.45
Ohio,1,686.96
New Jersey,4,691.88
California,18,696.12
California,27,699.90
Pennsylvania,8,706.93
Texas,16,710.35
Georgia,13,714.95
Florida,19,750.37
Kansas,3,757.20
Massachusetts,3,757.86
Rhode Island,2,765.32
Florida,15,818.51
Washington,10,826.67
North Carolina,9,856.93
Maryland,8,859.85
Pennsylvania,6,860.47
Pennsylvania,7,862.56
Florida,16,875.33
Florida,12,883.75
Ohio,13,894.30
New Jersey,3,899.70
Texas,26,907.15
California,19,915.34
California,42,935.96
California,26,939.12
Virginia,3,947.10
New Jersey,7,970.19
New Jersey,5,991.30
Virginia,2,991.68
Pennsylvania,16,997.68
Washington,2,1015.02
Texas,22,1032.84
North Carolina,4,1045.35
Georgia,11,1071.25
Oregon,3,1074.46
Illinois,2,1080.67
Florida,10,1129.32
Ohio,10,1129.76
Indiana,1,1157.02
California,22,1165.12
Ohio,16,1205.34
Massachusetts,9,1214.74
New York,20,1231.28
California,9,1245.28
Connecticut,5,1248.16
Tennessee,5,1248.57
Louisiana,2,1268.48
Pennsylvania,15,1285.03
South Carolina,4,1299.30
New York,18,1353.42
Florida,5,1355.03
Virginia,10,1372.24
Texas,12,1441.16
Maryland,5,1481.24
Michigan,8,1503.18
Florida,18,1512.55
Pennsylvania,4,1517.84
South Carolina,1,1547.86
Illinois,14,1597.60
Massachusetts,2,1628.00
Oklahoma,1,1631.67
California,25,1690.50
Florida,9,1707.49
Wisconsin,1,1727.92
California,5,1730.82
Pennsylvania,17,1733.22
Florida,8,1752.06
California,10,1818.79
Florida,4,1875.97
Wisconsin,5,1890.75
Indiana,5,1924.76
Delaware,1,1948.54
Maryland,6,1950.26
Ohio,14,1953.14
Connecticut,2,1987.68
Pennsylvania,18,2072.79
Oklahoma,5,2073.90
New Jersey,2,2092.43
Florida,26,2098.66
Texas,6,2148.41
Texas,31,2154.49
Pennsylvania,12,2163.03
Ohio,12,2271.91
North Carolina,13,2280.59
Tennessee,2,2320.68
Michigan,5,2348.70
Massachusetts,1,2350.29
New York,24,2388.56
Missouri,5,2424.85
Florida,20,2427.42
Minnesota,2,2437.91
Texas,14,2441.39
Ohio,8,2450.49
New Hampshire,1,2463.65
Florida,6,2506.92
Florida,11,2509.88
Utah,4,2550.35
North Carolina,10,2575.16
Michigan,3,2628.74
Virginia,7,2776.39
California,50,2787.35
California,16,2839.51
Nevada,3,2848.99
Minnesota,6,2882.22
Oregon,1,3007.00
South Carolina,2,3022.17
Ohio,2,3221.62
Florida,25,3232.71
