population,income,popwhite,popblack,homeval,rentval,district,statefull
692413,43358,468570,192616,177530,773,1,Alabama
684211,41844,448639,206301,174613,700,2,Alabama
692489,41134,488095,176503,184916,670,3,Alabama
682010,38420,602623,48047,192212,582,4,Alabama
696030,49923,535620,119781,190907,664,5,Alabama
688916,57778,553006,98123,195557,875,6,Alabama
681555,31684,231072,431131,151545,679,7,Alabama
729603,70477,485500,25282,158059,1113,1,Alaska
720383,46108,468888,17853,168169,866,1,Arizona
720236,46115,581026,30622,178805,803,2,Arizona
719827,39811,531111,31284,140122,819,3,Arizona
723279,43174,633125,12441,199053,871,4,Arizona
738002,63873,629076,23940,187824,1088,5,Arizona
733405,61081,632537,20044,189034,988,6,Arizona
734911,32486,500147,71845,100261,777,7,Arizona
726340,56596,628571,28859,194278,1073,8,Arizona
732473,49758,570573,39436,140218,880,9,Arizona
727971,36100,572858,131511,184978,600,1,Arkansas
746332,46601,547182,163582,188000,735,2,Arkansas
748947,43303,639945,20016,179506,679,3,Arkansas
725988,35810,544728,142325,196165,607,4,Arkansas
703566,44453,607806,9848,175126,896,1,California
708526,60902,572518,12114,168536,1219,2,California
708773,54161,462762,42727,140146,1083,3,California
706178,63207,603651,8764,190189,1148,4,California
714706,62118,486812,45872,152788,1243,5,California
718545,45992,387883,90581,123634,958,6,California
717509,62006,468068,54636,158930,1086,7,California
707601,45700,516041,59279,139921,983,8,California
719147,53453,410595,61305,132250,1010,9,California
715054,51743,523430,25033,132144,1021,10,California
724286,72161,466073,65705,163584,1302,11,California
718664,73940,371174,42303,104135,1473,12,California
721249,58907,335134,133611,122287,1187,13,California
726322,82382,363675,23913,144922,1629,14,California
726058,87757,356416,47205,148199,1438,15,California
716111,36488,405862,42903,96705,830,16,California
723289,99535,247124,20534,132929,1704,17,California
727953,102656,494640,13542,163687,1598,18,California
719217,76518,352034,22045,127297,1429,19,California
718809,59612,551855,16228,112413,1265,20,California
708384,37271,487286,30922,87282,776,21,California
719148,51014,526197,23181,135289,933,22,California
716668,52974,542148,43518,142786,935,23,California
715038,60274,549799,14371,131794,1266,24,California
718338,69888,464209,56590,148981,1352,25,California
710893,73948,550765,13883,142352,1455,26,California
710145,66942,314272,32074,132459,1281,27,California
715093,52891,490321,19167,99738,1227,28,California
699591,45227,427309,28789,82191,1124,29,California
733740,68057,491687,31748,141648,1383,30,California
724820,52429,435565,76252,117897,1093,31,California
706556,57940,364218,18329,116842,1221,32,California
710864,92261,534326,21778,146070,1744,33,California
705019,33990,259239,29505,48032,973,34,California
717977,53626,415673,51994,109833,1136,35,California
719201,43739,479632,31243,163193,976,36,California
723385,48752,290699,176207,93252,1234,37,California
716482,60880,390094,30483,123692,1238,38,California
716590,77547,396981,15772,149106,1412,39,California
705789,38890,386899,36038,59745,1040,40,California
724669,51855,431820,68807,113023,1145,41,California
735611,70401,511075,39028,153049,1432,42,California
708574,46555,265163,165999,99083,1124,43,California
709907,44865,326318,111799,88557,1039,44,California
728185,90408,473424,12414,167350,1757,45,California
715766,53152,418390,13744,76969,1314,46,California
718815,56858,395704,54378,114354,1179,47,California
718189,79094,489148,7092,152022,1625,48,California
711166,69082,549358,20766,149021,1498,49,California
724530,59303,583668,17620,146291,1205,50,California
726668,40686,465974,53603,84786,966,51,California
711274,81752,495153,21895,145756,1579,52,California
731722,60851,483767,56146,130155,1223,53,California
754294,52776,580583,65193,166515,897,1,Colorado
742337,66630,672797,6197,197092,1081,2,Colorado
722813,47443,633080,7778,192658,845,3,Colorado
736505,62156,652521,9796,189084,905,4,Colorado
741804,55288,611256,42033,178028,917,5,Colorado
752009,65508,570635,69209,177657,1046,6,Colorado
742314,58115,648821,9679,179774,973,7,Colorado
717888,64312,516027,106878,183005,969,1,Connecticut
713819,69782,623788,27998,192854,974,2,Connecticut
715715,61654,536852,96401,173067,1086,3,Connecticut
728906,83755,535421,89787,171046,1310,4,Connecticut
715936,65272,577494,46795,183127,956,5,Connecticut
916929,59399,637141,197999,240771,989,1,Delaware
718569,49263,557453,94587,178587,935,1,Florida
706059,43286,490202,173707,162197,862,2,Florida
702726,44168,557450,95092,174303,846,3,Florida
704855,54580,549972,91964,176077,997,4,Florida
714393,32887,275886,374444,130167,842,5,Florida
715041,44433,604850,65893,201817,912,6,Florida
712946,52442,576751,66594,169689,1044,7,Florida
702424,46113,589686,70419,205715,862,8,Florida
732130,43998,550606,81023,142371,1021,9,Florida
733108,49293,558146,87388,184377,988,10,Florida
706874,40187,614560,62736,228895,818,11,Florida
704266,49013,625963,32542,204074,947,12,Florida
699803,44691,607402,41031,201969,916,13,Florida
731358,39727,464746,190816,139059,903,14,Florida
712107,49716,548167,97439,165467,905,15,Florida
714258,47987,627878,47822,218281,952,16,Florida
708299,42278,598203,65312,201567,803,17,Florida
701546,50253,565087,86425,204174,1058,18,Florida
719346,49433,618705,55012,196551,950,19,Florida
730623,36937,287766,392500,135880,999,20,Florida
724001,54655,575008,88834,207826,1234,21,Florida
710861,53139,579100,81532,193338,1167,22,Florida
726348,51707,555758,79780,170978,1203,23,Florida
714608,36946,275908,395112,114680,987,24,Florida
725733,47114,626000,55851,138318,1136,25,Florida
730196,50634,620534,72388,147051,1214,26,Florida
716553,41063,624316,57200,121729,1013,27,Florida
712954,45074,455893,210164,157343,867,1,Georgia
696833,33333,303459,355846,141602,677,2,Georgia
701967,51959,496390,167600,173114,855,3,Georgia
713474,48335,218193,417063,152788,919,4,Georgia
718037,42282,239614,419271,126428,924,5,Georgia
716040,76359,508061,99233,170192,1044,6,Georgia
713767,62620,415732,135077,156156,1008,7,Georgia
699934,39310,448765,210768,161207,708,8,Georgia
708866,43823,617181,49840,182342,746,9,Georgia
703566,46336,489631,171888,167547,758,10,Georgia
711409,60277,533327,111419,171337,945,11,Georgia
702920,40117,418584,245365,153633,698,12,Georgia
712229,49626,257388,398073,159594,904,13,Georgia
693997,43155,596182,61401,171787,688,14,Georgia
696072,70989,126209,16158,122826,1409,1,Hawaii
694276,61796,223984,11288,131191,1351,2,Hawaii
803330,47111,747905,,209336,748,1,Idaho
793892,44866,719284,5390,191720,698,2,Idaho
712618,47676,290301,365796,159055,886,1,Illinois
708298,44316,266958,394079,162658,869,2,Illinois
716709,60066,552782,32319,180979,904,3,Illinois
718208,42069,432579,31017,98463,866,4,Illinois
724545,66581,589359,19160,160669,1078,5,Illinois
721408,89382,613738,19537,207975,1130,6,Illinois
719753,47233,237795,376185,116977,1005,7,Illinois
720402,63357,498129,36422,172773,1036,8,Illinois
715178,62127,523104,63740,176616,974,9,Illinois
712624,68318,544445,48349,177717,1025,10,Illinois
716438,66806,475652,77397,174913,1044,11,Illinois
708957,43900,560528,118937,190027,694,12,Illinois
715252,46780,588425,80298,184041,732,13,Illinois
721517,81374,632568,20860,203545,1038,14,Illinois
708115,46686,657549,30098,208503,609,15,Illinois
706371,53768,642286,27910,197894,751,16,Illinois
708861,42629,585625,79157,192897,635,17,Illinois
713516,58322,649571,26641,211052,677,18,Illinois
719585,51538,504758,141202,188016,792,1,Indiana
719832,45073,622620,50003,193578,689,2,Indiana
726471,47661,639993,44527,201940,653,3,Indiana
731304,50652,665323,26308,193324,730,4,Indiana
734988,61047,623830,58767,203131,818,5,Indiana
721048,44994,673753,16510,196940,680,6,Indiana
736200,37867,443918,212347,148926,747,7,Indiana
721929,46160,667696,28430,199387,663,8,Indiana
730316,49426,673321,19341,193761,752,9,Indiana
766577,52197,706117,26248,225194,643,1,Iowa
769113,49843,698742,28255,215334,678,2,Iowa
780488,56768,699414,30065,217463,755,3,Iowa
760341,47931,708539,10106,222619,608,4,Iowa
720915,45276,637636,22100,183114,652,1,Kansas
714295,47431,627103,31574,184895,705,2,Kansas
731209,64341,597206,64187,189203,876,3,Kansas
716547,48808,600031,48886,182671,689,4,Kansas
724590,38025,650418,50528,197332,570,1,Kentucky
734009,44716,659466,41542,194260,640,2,Kentucky
732544,46049,533027,154794,182972,723,3,Kentucky
733183,54255,677255,25111,195298,718,4,Kentucky
717238,30674,694533,9415,198818,537,5,Kentucky
739071,45022,630253,65584,178264,697,6,Kentucky
769630,53066,618092,98939,201208,897,1,Louisiana
772514,35423,242274,481938,159583,834,2,Louisiana
764129,44650,540440,186925,200324,692,3,Louisiana
762185,41375,467287,257320,188638,692,4,Louisiana
758015,34911,469995,267984,180480,614,5,Louisiana
774460,56126,554341,181786,206087,843,6,Louisiana
668113,53117,632280,9872,194974,856,1,Maine
660104,41965,630211,4405,196504,683,2,Maine
724648,67161,601504,87465,204886,978,1,Maryland
735103,60429,418878,238210,170782,1104,2,Maryland
731332,76241,476416,156204,180926,1270,3,Maryland
737812,72990,236201,393202,163229,1235,4,Maryland
738847,89631,392125,278369,191536,1398,5,Maryland
741402,72021,513457,98304,184591,1205,6,Maryland
725387,53336,258383,397331,151561,997,7,Maryland
750109,94476,517183,87301,187377,1509,8,Maryland
729781,51358,607151,45944,185364,788,1,Massachusetts
736220,61566,629586,33804,173166,917,2,Massachusetts
739063,66579,567963,27513,173860,991,3,Massachusetts
737702,84056,651257,18823,191811,1109,4,Massachusetts
742861,80814,589440,36746,171872,1325,5,Massachusetts
742624,77279,643200,23075,193007,1117,6,Massachusetts
745297,50983,381785,193291,93469,1246,7,Massachusetts
744449,73465,586087,69294,178801,1243,8,Massachusetts
730141,60399,660672,19919,206881,882,9,Massachusetts
705172,42299,652472,11128,227138,636,1,Michigan
711835,47729,616249,43702,194743,712,2,Michigan
714507,50381,605791,62579,192935,735,3,Michigan
703410,43262,661073,13035,208197,679,4,Michigan
695505,40286,540323,122390,198113,680,5,Michigan
708717,45848,603860,59900,195931,685,6,Michigan
703242,50727,644838,29821,204207,742,7,Michigan
713390,61476,617797,38476,193964,814,8,Michigan
712724,50314,580828,81014,208769,818,9,Michigan
704740,54864,655761,20519,212509,783,10,Michigan
711982,72072,593783,37119,207228,927,11,Michigan
706046,50651,562243,75504,173086,864,12,Michigan
692167,30694,262196,385640,144827,749,13,Michigan
700805,40365,239348,402186,153172,852,14,Michigan
667108,54130,615146,16609,193711,680,1,Minnesota
675357,72975,585240,26378,195572,915,2,Minnesota
681063,76753,560708,47182,197578,1022,3,Minnesota
679186,61118,500694,64678,168295,862,4,Minnesota
680525,52282,473346,106903,155432,859,5,Minnesota
675512,70006,622393,14371,193539,853,6,Minnesota
662229,49832,612337,5842,202647,615,7,Minnesota
661396,48587,618240,6804,208851,672,8,Minnesota
749704,40643,524544,201994,197558,678,1,Mississippi
733729,31092,240792,475918,160486,629,2,Mississippi
747670,40736,459954,262468,198895,717,3,Mississippi
754078,40691,546567,176333,187762,766,4,Mississippi
743002,39346,329758,363329,166699,771,1,Missouri
757748,72999,679521,28346,232369,901,2,Missouri
758554,53616,707790,24079,220037,712,3,Missouri
755505,43778,678661,33399,194141,714,4,Missouri
753557,43745,520791,162249,180104,774,5,Missouri
752997,51353,685174,31030,201998,706,6,Missouri
756384,40942,699423,12710,194208,666,7,Missouri
748508,37183,692090,34277,202458,574,8,Missouri
1006086,45951,897554,4497,272702,683,1,Montana
620380,52337,560180,16308,159082,701,1,Nebraska
626491,55640,505315,62752,152533,788,2,Nebraska
608338,46933,572349,6391,172585,605,3,Nebraska
666665,37860,412558,65876,100237,839,1,Nevada
684685,52506,566722,13499,156341,886,2,Nevada
710840,61836,503968,51758,154716,1170,3,Nevada
691958,51567,440823,98296,138241,1016,4,Nevada
660887,65116,620342,9475,181821,1009,1,New Hampshire
660163,64209,619455,6870,185296,946,2,New Hampshire
733235,62669,503971,124534,187025,979,1,New Jersey
733779,57154,544750,97270,191491,1028,2,New Jersey
738478,71875,599546,77455,225982,1229,3,New Jersey
734432,74144,625821,50003,204440,1228,4,New Jersey
736245,90025,579790,35764,199917,1265,5,New Jersey
738730,74151,487618,73017,158777,1243,6,New Jersey
738426,100056,594847,32606,205224,1318,7,New Jersey
756575,52803,424199,78201,78138,1142,8,New Jersey
744305,59752,468201,84849,126618,1208,9,New Jersey
729719,45478,218784,388437,104034,1039,10,New Jersey
740274,98315,618405,27670,206558,1368,11,New Jersey
743711,77585,429318,131012,174890,1200,12,New Jersey
695527,46601,498373,19982,171687,779,1,New Mexico
698308,39541,566808,11768,169496,682,2,New Mexico
688415,45593,452699,11908,176348,812,3,New Mexico
721952,86217,636243,34221,198540,1547,1,New York
721509,86213,545349,71538,180725,1446,2,New York
722406,100098,555765,23888,200403,1632,3,New York
717348,90822,487223,99777,180015,1437,4,New York
758430,59103,139031,381058,123442,1212,5,New York
719242,56703,351742,26420,122545,1344,6,New York
747740,43445,363827,80933,52986,1162,7,New York
724024,43075,208992,411251,89259,1074,8,New York
734048,46645,244240,381765,78808,1148,9,New York
721942,75223,515413,29862,88332,1639,10,New York
729585,63706,530914,57103,148496,1180,11,New York
715554,86583,538124,35379,97145,1798,12,New York
750812,34649,195414,226925,26571,1038,13,New York
720579,49481,337174,80253,73062,1295,14,New York
735322,24612,113885,242019,21207,952,15,New York
731103,61864,352036,238674,129436,1202,16,New York
730465,87135,510273,77863,162472,1395,17,New York
719331,75236,562611,65299,174537,1148,18,New York
714225,56611,642244,30990,199225,880,19,New York
720872,59248,587936,66574,175048,875,20,New York
720207,49966,664236,21806,194393,789,21,New York
715730,47200,647216,27456,191038,674,22,New York
715111,46015,655524,20638,195998,675,23,New York
714256,52243,608708,58327,190205,737,24,New York
721731,51226,542751,114435,182246,810,25,New York
715879,43140,523225,128959,179650,705,26,New York
717257,57982,671684,16777,216601,715,27,New York
729775,33023,288522,386127,150149,709,1,North Carolina
762421,50817,556946,121347,187515,807,2,North Carolina
751070,45148,560716,141243,178488,835,3,North Carolina
760235,48947,419173,244815,153283,866,4,North Carolina
739563,42662,602205,92710,201454,693,5,North Carolina
750726,48309,581717,117680,215309,715,6,North Carolina
752665,45594,558151,129612,201605,756,7,North Carolina
743193,40444,508683,139648,185511,672,8,North Carolina
766831,70150,602455,101039,208946,969,9,North Carolina
738516,42466,607826,85311,196836,704,10,North Carolina
735480,39501,667209,23190,213920,659,11,North Carolina
759136,35657,282546,381872,129645,766,12,North Carolina
759655,62691,566759,129038,211242,874,13,North Carolina
703203,54920,628411,9669,189954,664,1,North Dakota
727426,50840,527281,159378,171418,694,1,Ohio
720413,50128,631372,60506,195258,707,2,Ohio
733312,40039,422964,238871,132608,767,3,Ohio
715770,46843,649308,38083,193727,661,4,Ohio
724116,50774,668388,21623,208091,672,5,Ohio
714160,42162,681075,15672,207975,585,6,Ohio
722682,48457,673316,26943,202482,662,7,Ohio
723551,50426,646594,41986,191808,724,8,Ohio
715939,39544,544890,111785,178479,660,9,Ohio
724109,45313,560543,123155,182723,733,10,Ohio
704662,32963,284118,379203,151714,687,11,Ohio
737402,62771,656078,32047,202511,810,12,Ohio
721145,40827,604970,81390,191791,661,13,Ohio
718754,59043,659448,30479,215753,805,14,Ohio
732459,54676,668773,25832,188566,796,15,Ohio
721968,59778,677484,14561,213049,778,16,Ohio
766928,48846,559451,66579,190171,746,1,Oklahoma
747975,38072,504980,26352,203713,598,2,Oklahoma
760974,46575,609143,28137,197502,647,3,Oklahoma
769283,49341,594577,50585,190509,744,4,Oklahoma
772136,43964,535392,103653,176819,736,5,Oklahoma
786911,61643,635363,12658,182694,971,1,Oregon
773472,42658,699608,4695,193539,796,2,Oregon
787831,52220,627148,41659,174978,917,3,Oregon
771311,41651,693660,6157,191313,812,4,Oregon
779741,52258,667701,6346,183798,869,5,Oregon
704351,38789,332133,247598,142275,910,1,Pennsylvania
718235,35300,226319,422497,135882,891,2,Pennsylvania
703321,46195,648187,32784,202191,640,3,Pennsylvania
710769,56264,607817,54661,196642,823,4,Pennsylvania
704890,45222,664076,16038,196250,672,5,Pennsylvania
720817,72491,633322,30817,203233,1052,6,Pennsylvania
710660,77914,626960,38631,200963,1079,7,Pennsylvania
707648,75305,630139,26168,200553,1101,8,Pennsylvania
705006,44621,666757,21230,203260,639,9,Pennsylvania
709274,48731,663425,23373,203205,710,10,Pennsylvania
703412,50502,629880,35690,198890,736,11,Pennsylvania
703325,54597,656784,22146,221863,674,12,Pennsylvania
717729,55533,472840,132594,171145,976,13,Pennsylvania
706047,40622,510295,150797,172914,716,14,Pennsylvania
715255,56710,610644,33918,190644,886,15,Pennsylvania
710118,52450,589403,45601,172942,862,16,Pennsylvania
701112,47403,619591,42065,187701,725,17,Pennsylvania
707890,58364,664570,17089,219504,732,18,Pennsylvania
527461,51564,410579,46082,113928,877,1,Rhode Island
523261,60624,442804,21017,133298,944,2,Rhode Island
693096,57303,515602,132677,182362,1006,1,South Carolina
672944,52205,475447,157973,187228,812,2,South Carolina
664638,40362,514177,121588,179913,662,3,South Carolina
