population,income,homeval,rentval,district,statefull,abbr,label,gopvi,sqrmiles,density,white
692413,43358,177530,773,1,Alabama,AL,AL-1,15,6066.83,114,0.6767203966418885
684211,41844,174613,700,2,Alabama,AL,AL-2,17,10141.63,67,0.6557026998981308
692489,41134,184916,670,3,Alabama,AL,AL-3,16,7543.86,91,0.7048415209483472
682010,38420,192212,582,4,Alabama,AL,AL-4,28,8888.77,76,0.8835984809606897
696030,49923,190907,664,5,Alabama,AL,AL-5,17,3677.31,189,0.7695357958708676
688916,57778,195557,875,6,Alabama,AL,AL-6,28,4170.78,165,0.8027190542823799
681555,31684,151545,679,7,Alabama,AL,AL-7,-20,10156.13,67,0.3390364680766776
729603,70477,158059,1113,1,Alaska,AK,AK-1,12,570640.95,1,0.6654303778904418
720383,46108,168169,866,1,Arizona,AZ,AZ-1,4,55039.61,13,0.6508870975578269
720236,46115,178805,803,2,Arizona,AZ,AZ-2,3,7838.12,91,0.8067161319345326
719827,39811,140122,819,3,Arizona,AZ,AZ-3,-8,15688.79,45,0.7378314511681279
723279,43174,199053,871,4,Arizona,AZ,AZ-4,20,33199.45,21,0.8753537708131993
738002,63873,187824,1088,5,Arizona,AZ,AZ-5,17,293.47,2514,0.8524041940265744
733405,61081,189034,988,6,Arizona,AZ,AZ-6,12,625.07,1173,0.8624661680790286
734911,32486,100261,777,7,Arizona,AZ,AZ-7,-16,205.12,3582,0.6805545161250818
726340,56596,194278,1073,8,Arizona,AZ,AZ-8,15,539.66,1345,0.8653949940799075
732473,49758,140218,880,9,Arizona,AZ,AZ-9,1,164.79,4444,0.7789679619590074
727971,36100,184978,600,1,Arkansas,AR,AR-1,14,19318.29,37,0.7869242043982522
746332,46601,188000,735,2,Arkansas,AR,AR-2,8,4978.12,149,0.7331616492392126
748947,43303,179506,679,3,Arkansas,AR,AR-3,19,5400.99,138,0.8544596613645559
725988,35810,196165,607,4,Arkansas,AR,AR-4,15,22338.08,32,0.7503264516768873
703566,44453,175126,896,1,California,CA,CA-1,10,28089.47,25,0.8638933660807941
708526,60902,168536,1219,2,California,CA,CA-2,-20,12952.23,54,0.8080409187524523
708773,54161,140146,1083,3,California,CA,CA-3,-3,6183.59,114,0.6529057963551095
706178,63207,190189,1148,4,California,CA,CA-4,10,12836.2,55,0.8548142253086333
714706,62118,152788,1243,5,California,CA,CA-5,-19,1730.82,412,0.6811360195660873
718545,45992,123634,958,6,California,CA,CA-6,-18,175.04,4105,0.5398172696212485
717509,62006,158930,1086,7,California,CA,CA-7,0,548.65,1307,0.6523513990765273
707601,45700,139921,983,8,California,CA,CA-8,10,32867.21,21,0.7292824628568925
719147,53453,132250,1010,9,California,CA,CA-9,-6,1245.28,577,0.5709472472248373
715054,51743,132144,1021,10,California,CA,CA-10,1,1818.79,393,0.7320146450477866
724286,72161,163584,1302,11,California,CA,CA-11,-17,493.61,1467,0.6434930400421933
718664,73940,104135,1473,12,California,CA,CA-12,-34,38.97,18441,0.5164777976912716
721249,58907,122287,1187,13,California,CA,CA-13,-37,96.79,7451,0.4646578366139849
726322,82382,144922,1629,14,California,CA,CA-14,-23,259.5,2798,0.5007076751082853
726058,87757,148199,1438,15,California,CA,CA-15,-16,599.45,1211,0.4908919122163794
716111,36488,96705,830,16,California,CA,CA-16,-7,2839.51,252,0.5667585053155167
723289,99535,132929,1704,17,California,CA,CA-17,-20,184.85,3912,0.34166702383141456
727953,102656,163687,1598,18,California,CA,CA-18,-18,696.12,1045,0.6794944179088485
719217,76518,127297,1429,19,California,CA,CA-19,-19,915.34,785,0.4894684080048163
718809,59612,112413,1265,20,California,CA,CA-20,-21,4874.22,147,0.7677352398203139
708384,37271,87282,776,21,California,CA,CA-21,-2,6729.94,105,0.6878839725346705
719148,51014,135289,933,22,California,CA,CA-22,10,1165.12,617,0.7316950057568122
716668,52974,142786,935,23,California,CA,CA-23,16,9898.0,72,0.7564841739829321
715038,60274,131794,1266,24,California,CA,CA-24,-4,6883.35,103,0.7689087852673564
718338,69888,148981,1352,25,California,CA,CA-25,3,1690.5,424,0.6462264282273804
710893,73948,142352,1455,26,California,CA,CA-26,-4,939.12,756,0.7747509118812536
710145,66942,132459,1281,27,California,CA,CA-27,-11,699.9,1014,0.4425462405565061
715093,52891,99738,1227,28,California,CA,CA-28,-20,218.45,3273,0.6856744507357784
699591,45227,82191,1124,29,California,CA,CA-29,-25,92.03,7601,0.6107983092978612
733740,68057,141648,1383,30,California,CA,CA-30,-14,135.94,5397,0.6701106659034536
724820,52429,117897,1093,31,California,CA,CA-31,-5,218.24,3321,0.6009285063877928
706556,57940,116842,1221,32,California,CA,CA-32,-12,124.23,5687,0.5154835568589043
710864,92261,146070,1744,33,California,CA,CA-33,-11,288.58,2463,0.7516571383555786
705019,33990,48032,973,34,California,CA,CA-34,-30,47.66,14792,0.36770498383731504
717977,53626,109833,1136,35,California,CA,CA-35,-15,168.88,4251,0.5789503006363713
719201,43739,163193,976,36,California,CA,CA-36,1,5912.64,121,0.6668956244499104
723385,48752,93252,1234,37,California,CA,CA-37,-34,55.26,13090,0.4018593141964514
716482,60880,123692,1238,38,California,CA,CA-38,-12,101.46,7061,0.5444575020726271
716590,77547,149106,1412,39,California,CA,CA-39,5,204.4,3505,0.5539862403885066
705789,38890,59745,1040,40,California,CA,CA-40,-29,57.69,12234,0.5481794133940879
724669,51855,113023,1145,41,California,CA,CA-41,-9,316.54,2289,0.5958858458137439
735611,70401,153049,1432,42,California,CA,CA-42,10,935.96,785,0.6947625851163183
708574,46555,99083,1124,43,California,CA,CA-43,-26,72.03,9837,0.37422061774775817
709907,44865,88557,1039,44,California,CA,CA-44,-32,79.36,8945,0.4596630262837245
728185,90408,167350,1757,45,California,CA,CA-45,7,330.39,2204,0.6501424775297486
715766,53152,76969,1314,46,California,CA,CA-46,-9,71.72,9980,0.5845346104732553
718815,56858,114354,1179,47,California,CA,CA-47,-8,216.21,3324,0.5504949117645013
718189,79094,152022,1625,48,California,CA,CA-48,7,145.47,4937,0.6810853410453237
711166,69082,149021,1498,49,California,CA,CA-49,4,553.08,1285,0.7724750620811456
724530,59303,146291,1205,50,California,CA,CA-50,14,2787.35,259,0.8055815494182436
726668,40686,84786,966,51,California,CA,CA-51,-16,4791.61,151,0.6412474472523904
711274,81752,145756,1579,52,California,CA,CA-52,-2,267.0,2663,0.6961494445178651
731722,60851,130155,1223,53,California,CA,CA-53,-10,135.43,5402,0.6611349665583377
754294,52776,166515,897,1,Colorado,CO,CO-1,-18,189.62,3977,0.7697038555258294
742337,66630,197092,1081,2,Colorado,CO,CO-2,-8,7535.34,98,0.9063228695323012
722813,47443,192658,845,3,Colorado,CO,CO-3,5,49731.77,14,0.8758558576007902
736505,62156,189084,905,4,Colorado,CO,CO-4,11,38102.67,19,0.8859695453527131
741804,55288,178028,917,5,Colorado,CO,CO-5,13,7265.72,102,0.8240128120096414
752009,65508,177657,1046,6,Colorado,CO,CO-6,-1,474.66,1584,0.7588140567466612
742314,58115,179774,973,7,Colorado,CO,CO-7,-5,342.11,2169,0.8740519510611412
717888,64312,183005,969,1,Connecticut,CT,CT-1,-13,675.45,1062,0.7188126838726933
713819,69782,192854,974,2,Connecticut,CT,CT-2,-5,1987.68,359,0.8738741893953509
715715,61654,173067,1086,3,Connecticut,CT,CT-3,-11,470.34,1521,0.7500918661757823
728906,83755,171046,1310,4,Connecticut,CT,CT-4,-5,460.73,1582,0.7345542497935262
715936,65272,183127,956,5,Connecticut,CT,CT-5,-3,1248.16,573,0.8066279667456309
916929,59399,240771,989,1,Delaware,DE,DE-1,-8,1948.54,470,0.6948640516332235
718569,49263,178587,935,1,Florida,FL,FL-1,21,4016.3,178,0.7757821447905491
706059,43286,162197,862,2,Florida,FL,FL-2,6,8613.58,81,0.694279089991063
702726,44168,174303,846,3,Florida,FL,FL-3,14,7306.05,96,0.7932679308862914
704855,54580,176077,997,4,Florida,FL,FL-4,19,1875.97,375,0.7802626072028999
714393,32887,130167,842,5,Florida,FL,FL-5,-21,1355.03,527,0.3861823954042103
715041,44433,201817,912,6,Florida,FL,FL-6,9,2506.92,285,0.8458955500453821
712946,52442,169689,1044,7,Florida,FL,FL-7,4,513.58,1388,0.8089687016969027
702424,46113,205715,862,8,Florida,FL,FL-8,9,1752.06,400,0.8395014976709224
732130,43998,142371,1021,9,Florida,FL,FL-9,-8,1707.49,428,0.7520604264270007
733108,49293,184377,988,10,Florida,FL,FL-10,6,1129.32,649,0.7613421214882391
706874,40187,228895,818,11,Florida,FL,FL-11,11,2509.88,281,0.8694052971250887
704266,49013,204074,947,12,Florida,FL,FL-12,7,883.75,796,0.8888161575313873
699803,44691,201969,916,13,Florida,FL,FL-13,1,186.03,3761,0.8679614119973764
731358,39727,139059,903,14,Florida,FL,FL-14,-13,265.4,2755,0.6354562334725264
712107,49716,165467,905,15,Florida,FL,FL-15,6,818.51,870,0.7697817884110113
714258,47987,218281,952,16,Florida,FL,FL-16,6,875.33,815,0.8790633076563371
708299,42278,201567,803,17,Florida,FL,FL-17,10,6369.97,111,0.8445628188095705
701546,50253,204174,1058,18,Florida,FL,FL-18,3,1512.55,463,0.8054881647105108
719346,49433,196551,950,19,Florida,FL,FL-19,12,750.37,958,0.860093751824574
730623,36937,135880,999,20,Florida,FL,FL-20,-29,2427.42,300,0.3938638668643062
724001,54655,207826,1234,21,Florida,FL,FL-21,-10,260.97,2774,0.7942088477778345
710861,53139,193338,1167,22,Florida,FL,FL-22,-3,172.88,4111,0.8146459012380761
726348,51707,170978,1203,23,Florida,FL,FL-23,-9,169.1,4295,0.7651401256697892
714608,36946,114680,987,24,Florida,FL,FL-24,-34,106.08,6736,0.3860969930367418
725733,47114,138318,1136,25,Florida,FL,FL-25,5,3232.71,224,0.8625761815984666
730196,50634,147051,1214,26,Florida,FL,FL-26,1,2098.66,347,0.8498184049214184
716553,41063,121729,1013,27,Florida,FL,FL-27,2,208.84,3431,0.871276793203015
712954,45074,157343,867,1,Georgia,GA,GA-1,9,7982.81,89,0.6394423763664977
696833,33333,141602,677,2,Georgia,GA,GA-2,-6,9626.23,72,0.4354831071433184
701967,51959,173114,855,3,Georgia,GA,GA-3,19,3838.27,182,0.7071415038028853
713474,48335,152788,919,4,Georgia,GA,GA-4,-21,496.6,1436,0.30581773126981504
718037,42282,126428,924,5,Georgia,GA,GA-5,-32,264.91,2710,0.33370703738108204
716040,76359,170192,1044,6,Georgia,GA,GA-6,14,298.76,2396,0.7095427629741355
713767,62620,156156,1008,7,Georgia,GA,GA-7,14,392.61,1818,0.5824477735731688
699934,39310,161207,708,8,Georgia,GA,GA-8,15,8711.64,80,0.6411533087405384
708866,43823,182342,746,9,Georgia,GA,GA-9,30,5210.81,136,0.8706596169092607
703566,46336,167547,758,10,Georgia,GA,GA-10,14,7096.22,99,0.6959276030962269
711409,60277,171337,945,11,Georgia,GA,GA-11,19,1071.25,664,0.7496770493485463
702920,40117,153633,698,12,Georgia,GA,GA-12,9,8185.27,85,0.5954930859841803
712229,49626,159594,904,13,Georgia,GA,GA-13,-16,714.95,996,0.3613837684227966
693997,43155,171787,688,14,Georgia,GA,GA-14,26,3623.16,191,0.8590555866956198
696072,70989,122826,1409,1,Hawaii,HI,HI-1,-18,209.22,3326,0.1813160132859819
694276,61796,131191,1351,2,Hawaii,HI,HI-2,-21,6213.4,111,0.32261521354619777
803330,47111,209336,748,1,Idaho,ID,ID-1,18,39418.02,20,0.9310059377839742
793892,44866,191720,698,2,Idaho,ID,ID-2,17,43225.09,18,0.9060224816473778
712618,47676,159055,886,1,Illinois,IL,IL-1,-28,258.38,2758,0.4073725333909612
708298,44316,162658,869,2,Illinois,IL,IL-2,-29,1080.67,655,0.3769006830458366
716709,60066,180979,904,3,Illinois,IL,IL-3,-5,237.18,3021,0.7712781617085874
718208,42069,98463,866,4,Illinois,IL,IL-4,-29,52.45,13693,0.6023032324897523
724545,66581,160669,1078,5,Illinois,IL,IL-5,-16,95.71,7570,0.813419456348467
721408,89382,207975,1130,6,Illinois,IL,IL-6,4,378.78,1904,0.8507501996096523
719753,47233,116977,1005,7,Illinois,IL,IL-7,-36,62.52,11512,0.3303841734595063
720402,63357,172773,1036,8,Illinois,IL,IL-8,-8,205.52,3505,0.6914597682960347
715178,62127,176616,974,9,Illinois,IL,IL-9,-15,105.35,6788,0.7314318952764207
712624,68318,177717,1025,10,Illinois,IL,IL-10,-8,299.78,2377,0.7640003704618424
716438,66806,174913,1044,11,Illinois,IL,IL-11,-8,280.95,2550,0.6639122994592693
708957,43900,190027,694,12,Illinois,IL,IL-12,0,5008.21,141,0.7906375139818069
