population,income,popwhite,popblack,homeval,rentval,district,statefull,abbr,label,pvi,Winner12,Margin12,Romney12,Obama12,Winner08,Margin08,McCain08,Obama08,gopvi,sqrmiles,density,whitevote
692413,43358,468570,192616.0,177530,773,1,Alabama,AL,AL-1,R+15,Romney,-24,62,37,McCain,-23,61,38,15,6066.83,114,0.6767203966418885
684211,41844,448639,206301.0,174613,700,2,Alabama,AL,AL-2,R+17,Romney,-26,63,36,McCain,-29,64,35,17,10141.63,67,0.6557026998981308
692489,41134,488095,176503.0,184916,670,3,Alabama,AL,AL-3,R+16,Romney,-26,62,37,McCain,-26,63,37,16,7543.86,91,0.7048415209483472
682010,38420,602623,48047.0,192212,582,4,Alabama,AL,AL-4,R+28,Romney,-51,75,24,McCain,-47,73,26,28,8888.77,76,0.8835984809606897
696030,49923,535620,119781.0,190907,664,5,Alabama,AL,AL-5,R+17,Romney,-29,64,35,McCain,-26,62,36,17,3677.31,189,0.7695357958708676
688916,57778,553006,98123.0,195557,875,6,Alabama,AL,AL-6,R+28,Romney,-50,74,25,McCain,-49,74,25,28,4170.78,165,0.8027190542823799
681555,31684,231072,431131.0,151545,679,7,Alabama,AL,AL-7,D+20,Obama,-46,27,73,Obama,-44,28,72,-20,10156.13,67,0.3390364680766776
729603,70477,485500,25282.0,158059,1113,1,Alaska,AK,AK-1,R+12,Romney,-14,55,41,McCain,-22,59,38,12,570640.95,1,0.6654303778904418
720383,46108,468888,17853.0,168169,866,1,Arizona,AZ,AZ-1,R+4,Romney,-3,50,48,McCain,-3,51,48,4,55039.61,13,0.6508870975578269
720236,46115,581026,30622.0,178805,803,2,Arizona,AZ,AZ-2,R+3,Romney,-2,50,48,McCain,-1,50,49,3,7838.12,91,0.8067161319345326
719827,39811,531111,31284.0,140122,819,3,Arizona,AZ,AZ-3,D+8,Obama,-25,37,61,Obama,-18,41,58,-8,15688.79,45,0.7378314511681279
723279,43174,633125,12441.0,199053,871,4,Arizona,AZ,AZ-4,R+20,Romney,-36,67,31,McCain,-30,64,34,20,33199.45,21,0.8753537708131993
738002,63873,629076,23940.0,187824,1088,5,Arizona,AZ,AZ-5,R+17,Romney,-29,64,35,McCain,-26,63,36,17,293.47,2514,0.8524041940265744
733405,61081,632537,20044.0,189034,988,6,Arizona,AZ,AZ-6,R+12,Romney,-21,60,39,McCain,-17,58,41,12,625.07,1173,0.8624661680790286
734911,32486,500147,71845.0,100261,777,7,Arizona,AZ,AZ-7,D+16,Obama,-45,27,72,Obama,-31,34,65,-16,205.12,3582,0.6805545161250818
726340,56596,628571,28859.0,194278,1073,8,Arizona,AZ,AZ-8,R+15,Romney,-25,62,37,McCain,-22,61,38,15,539.66,1345,0.8653949940799075
732473,49758,570573,39436.0,140218,880,9,Arizona,AZ,AZ-9,R+1,Obama,-5,47,51,Obama,-4,47,51,1,164.79,4444,0.7789679619590074
727971,36100,572858,131511.0,184978,600,1,Arkansas,AR,AR-1,R+14,Romney,-25,61,36,McCain,-19,58,39,14,19318.29,37,0.7869242043982522
746332,46601,547182,163582.0,188000,735,2,Arkansas,AR,AR-2,R+8,Romney,-12,55,43,McCain,-10,54,44,8,4978.12,149,0.7331616492392126
748947,43303,639945,20016.0,179506,679,3,Arkansas,AR,AR-3,R+19,Romney,-34,66,32,McCain,-30,64,34,19,5400.99,138,0.8544596613645559
725988,35810,544728,142325.0,196165,607,4,Arkansas,AR,AR-4,R+15,Romney,-26,62,36,McCain,-23,60,37,15,22338.08,32,0.7503264516768873
703566,44453,607806,9848.0,175126,896,1,California,CA,CA-1,R+10,Romney,-16,56,40,McCain,-11,55,43,10,28089.47,25,0.8638933660807941
708526,60902,572518,12114.0,168536,1219,2,California,CA,CA-2,D+20,Obama,-42,27,69,Obama,-46,26,72,-20,12952.23,54,0.8080409187524523
708773,54161,462762,42727.0,140146,1083,3,California,CA,CA-3,D+3,Obama,-11,43,54,Obama,-13,43,55,-3,6183.59,114,0.6529057963551095
706178,63207,603651,8764.0,190189,1148,4,California,CA,CA-4,R+10,Romney,-18,58,40,McCain,-11,55,43,10,12836.2,55,0.8548142253086333
714706,62118,486812,45872.0,152788,1243,5,California,CA,CA-5,D+19,Obama,-42,27,70,Obama,-44,27,71,-19,1730.82,412,0.6811360195660873
718545,45992,387883,90581.0,123634,958,6,California,CA,CA-6,D+18,Obama,-41,28,69,Obama,-39,30,68,-18,175.04,4105,0.5398172696212485
717509,62006,468068,54636.0,158930,1086,7,California,CA,CA-7,R+0,Obama,-4,47,51,Obama,-5,46,52,0,548.65,1307,0.6523513990765273
707601,45700,516041,59279.0,139921,983,8,California,CA,CA-8,R+10,Romney,-14,56,42,McCain,-13,55,42,10,32867.21,21,0.7292824628568925
719147,53453,410595,61305.0,132250,1010,9,California,CA,CA-9,D+6,Obama,-18,40,58,Obama,-16,41,57,-6,1245.28,577,0.5709472472248373
715054,51743,523430,25033.0,132144,1021,10,California,CA,CA-10,R+1,Obama,-4,47,51,Obama,-3,48,50,1,1818.79,393,0.7320146450477866
724286,72161,466073,65705.0,163584,1302,11,California,CA,CA-11,D+17,Obama,-38,30,68,Obama,-41,29,69,-17,493.61,1467,0.6434930400421933
718664,73940,371174,42303.0,104135,1473,12,California,CA,CA-12,D+34,Obama,-72,13,84,Obama,-72,13,85,-34,38.97,18441,0.5164777976912716
721249,58907,335134,133611.0,122287,1187,13,California,CA,CA-13,D+37,Obama,-79,9,88,Obama,-78,10,88,-37,96.79,7451,0.4646578366139849
726322,82382,363675,23913.0,144922,1629,14,California,CA,CA-14,D+23,Obama,-51,24,74,Obama,-51,24,75,-23,259.5,2798,0.5007076751082853
726058,87757,356416,47205.0,148199,1438,15,California,CA,CA-15,D+16,Obama,-38,30,68,Obama,-37,31,68,-16,599.45,1211,0.4908919122163794
716111,36488,405862,42903.0,96705,830,16,California,CA,CA-16,D+7,Obama,-19,39,59,Obama,-18,40,58,-7,2839.51,252,0.5667585053155167
723289,99535,247124,20534.0,132929,1704,17,California,CA,CA-17,D+20,Obama,-46,26,72,Obama,-42,28,70,-20,184.85,3912,0.34166702383141456
727953,102656,494640,13542.0,163687,1598,18,California,CA,CA-18,D+18,Obama,-39,29,68,Obama,-43,27,71,-18,696.12,1045,0.6794944179088485
719217,76518,352034,22045.0,127297,1429,19,California,CA,CA-19,D+19,Obama,-45,27,71,Obama,-40,29,69,-19,915.34,785,0.48946840800481634
718809,59612,551855,16228.0,112413,1265,20,California,CA,CA-20,D+21,Obama,-45,26,71,Obama,-46,26,72,-21,4874.22,147,0.7677352398203139
708384,37271,487286,30922.0,87282,776,21,California,CA,CA-21,D+2,Obama,-11,44,55,Obama,-6,46,52,-2,6729.94,105,0.6878839725346705
719148,51014,526197,23181.0,135289,933,22,California,CA,CA-22,R+10,Romney,-15,57,42,McCain,-13,56,43,10,1165.12,617,0.7316950057568122
716668,52974,542148,43518.0,142786,935,23,California,CA,CA-23,R+16,Romney,-25,62,36,McCain,-25,61,37,16,9898.0,72,0.7564841739829321
715038,60274,549799,14371.0,131794,1266,24,California,CA,CA-24,D+4,Obama,-11,43,54,Obama,-16,41,57,-4,6883.35,103,0.7689087852673564
718338,69888,464209,56590.0,148981,1352,25,California,CA,CA-25,R+3,Romney,-2,50,48,Obama,-1,49,49,3,1690.5,424,0.6462264282273804
710893,73948,550765,13883.0,142352,1455,26,California,CA,CA-26,D+4,Obama,-10,44,54,Obama,-15,41,56,-4,939.12,756,0.7747509118812536
710145,66942,314272,32074.0,132459,1281,27,California,CA,CA-27,D+11,Obama,-28,35,63,Obama,-26,36,62,-11,699.9,1014,0.44254624055650604
715093,52891,490321,19167.0,99738,1227,28,California,CA,CA-28,D+20,Obama,-44,27,70,Obama,-45,27,71,-20,218.45,3273,0.6856744507357784
699591,45227,427309,28789.0,82191,1124,29,California,CA,CA-29,D+25,Obama,-57,21,77,Obama,-53,23,75,-25,92.03,7601,0.6107983092978612
733740,68057,491687,31748.0,141648,1383,30,California,CA,CA-30,D+14,Obama,-33,32,65,Obama,-34,32,66,-14,135.94,5397,0.6701106659034536
724820,52429,435565,76252.0,117897,1093,31,California,CA,CA-31,D+5,Obama,-17,41,57,Obama,-15,41,57,-5,218.24,3321,0.6009285063877928
706556,57940,364218,18329.0,116842,1221,32,California,CA,CA-32,D+12,Obama,-33,33,65,Obama,-27,36,62,-12,124.23,5687,0.5154835568589043
710864,92261,534326,21778.0,146070,1744,33,California,CA,CA-33,D+11,Obama,-24,37,61,Obama,-30,34,64,-11,288.58,2463,0.7516571383555786
705019,33990,259239,29505.0,48032,973,34,California,CA,CA-34,D+30,Obama,-69,14,83,Obama,-61,18,79,-30,47.66,14792,0.36770498383731504
717977,53626,415673,51994.0,109833,1136,35,California,CA,CA-35,D+15,Obama,-37,31,67,Obama,-33,33,65,-15,168.88,4251,0.5789503006363713
719201,43739,479632,31243.0,163193,976,36,California,CA,CA-36,R+1,Obama,-3,48,51,Obama,-3,48,51,1,5912.64,121,0.6668956244499104
723385,48752,290699,176207.0,93252,1234,37,California,CA,CA-37,D+34,Obama,-72,13,85,Obama,-73,13,85,-34,55.26,13090,0.4018593141964514
716482,60880,390094,30483.0,123692,1238,38,California,CA,CA-38,D+12,Obama,-32,33,65,Obama,-25,36,62,-12,101.46,7061,0.5444575020726271
716590,77547,396981,15772.0,149106,1412,39,California,CA,CA-39,R+5,Romney,-4,51,47,McCain,-3,50,48,5,204.4,3505,0.5539862403885066
705789,38890,386899,36038.0,59745,1040,40,California,CA,CA-40,D+29,Obama,-65,17,82,Obama,-59,20,79,-29,57.69,12234,0.548179413394088
724669,51855,431820,68807.0,113023,1145,41,California,CA,CA-41,D+9,Obama,-25,36,62,Obama,-21,39,59,-9,316.54,2289,0.5958858458137439
735611,70401,511075,39028.0,153049,1432,42,California,CA,CA-42,R+10,Romney,-15,57,41,McCain,-11,55,44,10,935.96,785,0.6947625851163183
708574,46555,265163,165999.0,99083,1124,43,California,CA,CA-43,D+26,Obama,-58,20,78,Obama,-55,22,76,-26,72.03,9837,0.37422061774775817
709907,44865,326318,111799.0,88557,1039,44,California,CA,CA-44,D+32,Obama,-71,14,85,Obama,-67,16,83,-32,79.36,8945,0.45966302628372446
728185,90408,473424,12414.0,167350,1757,45,California,CA,CA-45,R+7,Romney,-12,55,43,McCain,-4,51,47,7,330.39,2204,0.6501424775297486
715766,53152,418390,13744.0,76969,1314,46,California,CA,CA-46,D+9,Obama,-25,36,61,Obama,-20,39,59,-9,71.72,9980,0.5845346104732553
718815,56858,395704,54378.0,114354,1179,47,California,CA,CA-47,D+8,Obama,-23,38,60,Obama,-19,39,58,-8,216.21,3324,0.5504949117645013
718189,79094,489148,7092.0,152022,1625,48,California,CA,CA-48,R+7,Romney,-12,55,43,McCain,-5,51,46,7,145.47,4937,0.6810853410453237
711166,69082,549358,20766.0,149021,1498,49,California,CA,CA-49,R+4,Romney,-7,52,46,Obama,-1,49,50,4,553.08,1285,0.7724750620811456
724530,59303,583668,17620.0,146291,1205,50,California,CA,CA-50,R+14,Romney,-23,60,38,McCain,-19,59,40,14,2787.35,259,0.8055815494182436
726668,40686,465974,53603.0,84786,966,51,California,CA,CA-51,D+16,Obama,-41,29,69,Obama,-34,32,66,-16,4791.61,151,0.6412474472523904
711274,81752,495153,21895.0,145756,1579,52,California,CA,CA-52,D+2,Obama,-6,46,52,Obama,-12,43,55,-2,267.0,2663,0.6961494445178651
731722,60851,483767,56146.0,130155,1223,53,California,CA,CA-53,D+10,Obama,-25,36,61,Obama,-25,37,62,-10,135.43,5402,0.6611349665583377
754294,52776,580583,65193.0,166515,897,1,Colorado,CO,CO-1,D+18,Obama,-40,29,69,Obama,-43,28,71,-18,189.62,3977,0.7697038555258294
742337,66630,672797,6197.0,197092,1081,2,Colorado,CO,CO-2,D+8,Obama,-18,40,58,Obama,-24,37,61,-8,7535.34,98,0.9063228695323013
722813,47443,633080,7778.0,192658,845,3,Colorado,CO,CO-3,R+5,Romney,-6,52,46,McCain,-2,50,49,5,49731.77,14,0.8758558576007902
736505,62156,652521,9796.0,189084,905,4,Colorado,CO,CO-4,R+11,Romney,-19,59,39,McCain,-14,56,42,11,38102.67,19,0.8859695453527131
741804,55288,611256,42033.0,178028,917,5,Colorado,CO,CO-5,R+13,Romney,-21,59,38,McCain,-19,59,40,13,7265.72,102,0.8240128120096414
752009,65508,570635,69209.0,177657,1046,6,Colorado,CO,CO-6,D+1,Obama,-5,47,52,Obama,-9,45,54,-1,474.66,1584,0.7588140567466612
742314,58115,648821,9679.0,179774,973,7,Colorado,CO,CO-7,D+5,Obama,-15,42,56,Obama,-17,41,57,-5,342.11,2169,0.8740519510611412
