label,year,dem_cand,dem_per,gop_cand,gop_per
AK-1,2012,Cissna,28.6,Young,64.4
AL-1,2012,None,2.1,Bonner,97.9
AL-2,2012,Ford,36.3,Roby,63.7
AL-3,2012,Harris,35.9,Rogers,64.1
AL-4,2012,Boman,26,Aderholt,74
AL-5,2012,Holley,35,Brooks,65
AL-6,2012,Bailey,28.6,Bachus,71.4
AL-7,2012,Sewell,75.8,Chamberlain,24.2
AR-1,2012,Ellington,39,Crawford,56.3
AR-2,2012,Rule,39.5,Griffin,55.2
AR-3,2012,None,0,Womack,75.9
AR-4,2012,Jeffress,36.7,Cotton,59.5
AZ-1,2012,Kirkpatrick,48.6,Paton,45.4
AZ-2,2012,Barber,50.1,McSally,49.9
AZ-3,2012,Grijalva,57.8,Saucedo Mercer,37.7
AZ-4,2012,Robinson,28.3,Gosar,67
AZ-5,2012,Morgan,32.4,Salmon,67.6
AZ-6,2012,Jette,33.2,Schweikert,61.6
AZ-7,2012,Pastor,81.2,None,0
AZ-8,2012,Scharer,34.8,Franks,63.7
AZ-9,2012,Sinema,48.3,Parker,45.2
CA-1,2012,Reed,41.9,La Malfa,58.1
CA-10,2012,Hernandez,46.5,Denham,53.5
CA-11,2012,Miller,69.1,Fuller,30.9
CA-12,2012,Pelosi,84.9,Dennis,15.1
CA-13,2012,Lee,86.6,None,0
CA-14,2012,Speier,74.2,Bacigalupi,25.8
CA-15,2012,Stark,47.8,Swalwell,52.2
CA-16,2012,Costa,55.1,Whelan,44.9
CA-17,2012,Honda,73.3,Li,26.7
CA-18,2012,Eshoo,70.2,Chapman,29.8
CA-19,2012,Lofgren,72.9,Murray,27.1
CA-2,2012,Huffman,70.4,Roberts,29.6
CA-20,2012,Farr,72.8,Taylor,27.2
CA-21,2012,Hernandez,41.1,Valadao,58.9
CA-22,2012,Lee,37.1,Nunes,62.9
CA-23,2012,None,0,McCarthy,73.9
CA-24,2012,Capps,54.8,Maldonado,45.2
CA-25,2012,Rogers,44.4,McKeon,55.6
CA-26,2012,Brownley,52,Strickland,48
CA-27,2012,Chu,63.3,Orswell,36.7
