can_nam,year,label,can_par_aff,can_inc_cha_ope_sea,dem_per,gop_per,ind_con,tot_con,tot_rec,tot_dis,cas_on_han_beg_of_per,cas_on_han_clo_of_per,tot_rec_final,cov_sta,cov_end
"Dunbar, Forrest",2014,AK-1,DEM,CHALLENGER,40.8,51.6,36500.64,36500.64,36500.64,32907.83,27010.76,30603.57,237456.58,2014-04-01 00:00:00,2014-06-30 00:00:00
"Young, Donald E",2014,AK-1,REP,INCUMBENT,40.8,51.6,43369.0,100119.0,131258.41,236784.49,695338.18,589812.1,788960.16,2014-04-01 00:00:00,2014-06-30 00:00:00
"Wright, Erick",2014,AL-2,IND,CHALLENGER,33.9,66.1,2909.0,2909.0,2909.0,6608.0,3776.0,77.0,6674.0,2014-04-01 00:00:00,2014-06-30 00:00:00
"Roby, Martha",2014,AL-2,REP,INCUMBENT,33.9,66.1,58765.0,107765.0,107765.0,19480.73,475898.8,564183.07,1098795.1,2014-05-15 00:00:00,2014-06-30 00:00:00
"Holley, Charlie Lee",2012,AL-5,DEM,CHALLENGER,35.0,65.0,3828.0,9328.0,15934.89,4274.23,859.86,12520.52,56141.98,2012-04-01 00:00:00,2012-06-30 00:00:00
"Brooks, Mo",2012,AL-5,REP,INCUMBENT,35.0,65.0,20460.0,58460.0,62660.81,56379.57,337502.59,343783.83,904753.18,2012-04-01 00:00:00,2012-06-30 00:00:00
"Brooks, Mo",2014,AL-5,REP,INCUMBENT,74.8,25.2,11480.0,43980.0,43980.0,3233.62,821232.87,861979.25,614615.19,2014-05-15 00:00:00,2014-06-30 00:00:00
"Bray, Mark",2014,AL-5,IND,CHALLENGER,74.8,25.2,8904.93,9114.48,12116.38,9476.62,0.0,2639.76,28844.2,2013-10-01 00:00:00,2014-06-30 00:00:00
"Bailey, Penny Huggins",2012,AL-6,DEM,CHALLENGER,28.6,71.4,4251.0,14251.0,14251.0,10868.0,5206.0,8589.0,50326.0,2012-04-01 00:00:00,2012-06-30 00:00:00
"Bachus, Spencer T Iii",2012,AL-6,REP,INCUMBENT,28.6,71.4,26700.0,115200.0,116201.18,314201.28,513512.06,315511.96,2725003.77,2012-04-01 00:00:00,2012-06-30 00:00:00
"Ellington, Scott A",2012,AR-1,DEM,CHALLENGER,39.0,56.3,27412.9,75162.9,75162.9,45787.6,1729.62,31104.92,372375.1,2012-05-24 00:00:00,2012-06-30 00:00:00
"Mcpherson, Jackie",2014,AR-1,DEM,CHALLENGER,32.4,63.2,28690.6,40740.6,40740.6,35601.79,102358.06,107496.87,284800.44,2014-05-01 00:00:00,2014-06-30 00:00:00
"Crawford, Eric Alan Rick",2014,AR-1,REP,INCUMBENT,32.4,63.2,35295.0,94295.0,94295.0,43570.57,378740.76,429465.19,907123.79,2014-05-01 00:00:00,2014-06-30 00:00:00
"Crawford, Eric Alan Rick",2012,AR-1,REP,INCUMBENT,39.0,56.3,106801.15,198801.15,208420.42,38670.45,447205.9,616955.87,1339445.93,2012-05-03 00:00:00,2012-06-30 00:00:00
"Rule, Herb C. Iii",2012,AR-2,DEM,CHALLENGER,39.5,55.2,19761.5,19761.5,40349.5,36518.22,8970.63,12801.91,251260.14,2012-05-03 00:00:00,2012-06-30 00:00:00
"Hill, James French",2014,AR-2,REP,OPEN,43.6,51.9,271486.08,340736.08,340736.08,251398.76,378650.11,467987.43,2198995.68,2014-05-01 00:00:00,2014-06-30 00:00:00
"Hays, Patrick Henry",2014,AR-2,DEM,OPEN,43.6,51.9,155360.14,230735.14,230735.14,117987.58,508049.76,620797.32,1565130.39,2014-05-01 00:00:00,2014-06-30 00:00:00
"Griffin, John Timothy",2012,AR-2,REP,INCUMBENT,39.5,55.2,59977.0,90027.0,90027.0,109386.59,617344.75,597985.16,1619346.36,2012-05-03 00:00:00,2012-06-30 00:00:00
"Jeffress, Gene",2012,AR-4,DEM,OPEN,36.7,59.5,5570.0,17820.0,17820.0,14694.23,5669.61,8795.38,100330.0,2012-05-24 00:00:00,2012-06-30 00:00:00
"Westerman, Bruce Mr.",2014,AR-4,REP,OPEN,42.6,53.7,156129.99,183854.59,187332.01,91353.5,83295.47,179273.98,1047441.15,2014-05-01 00:00:00,2014-06-30 00:00:00
"Witt, James Lee",2014,AR-4,DEM,OPEN,42.6,53.7,99836.09,168045.09,168045.09,113785.58,341478.54,395738.05,1189666.78,2014-05-01 00:00:00,2014-06-30 00:00:00
"Cotton, Thomas",2012,AR-4,REP,OPEN,36.7,59.5,204970.64,328620.64,328620.64,425996.69,436775.86,339399.81,2213217.51,2012-05-03 00:00:00,2012-06-30 00:00:00
