year,label,can_nam_dem,can_par_aff_dem,can_inc_cha_ope_sea_dem,ind_con_dem,tot_con_dem,tot_rec_dem,tot_dis_dem,cas_on_han_beg_of_per_dem,cas_on_han_clo_of_per_dem,tot_rec_final_dem,can_nam_gop,can_par_aff_gop,can_inc_cha_ope_sea_gop,per_dem,per_gop,ind_con_gop,tot_con_gop,tot_rec_gop,tot_dis_gop,cas_on_han_beg_of_per_gop,cas_on_han_clo_of_per_gop,tot_rec_final_gop,gopwin,population,income,homeval,rentval,gopvi,density,white,gop_cash_adv_beg,gop_cash_adv_end,urb_cat,seat_stat_gop,inc_gop,gop_fund_adv
2012,WI-1,"Zerban, Rob",DEM,1,323000.43,355643.35,355857.16,246794.28,426279.28,535342.16,2385795.99,"Ryan, Paul D.",REP,0,43.4,54.9,664222.32,956666.51,1082538.45,754889.7,5081309.65,5408958.4,4994668.37,1,713079,57790,192673,830,3,412,0.885345102,4655030,4873616,2,INCUMBENT,1,726681
2014,WI-1,"Zerban, Robert T",DEM,1,84450.61,84450.61,104450.61,78694.85,76303.31,102059.07,744040.01,"Ryan, Paul D",REP,0,36.7,63.3,1008931.49,1441671.49,1611279.85,1783117.9,4007396.05,3835558.0,9368582.14,1,713079,57790,192673,830,3,412,0.885345102,3931092,3733498,2,INCUMBENT,1,1506829
2014,IL-18,"Miller, Darrel Ervin",DEM,1,8905.79,11505.79,16505.79,7244.56,0.0,9261.23,25570.79,"Schock, Aaron Jon Mr.",REP,0,25.2,74.8,126434.81,325934.81,341802.66,173931.37,3205185.87,3373057.16,2726450.13,1,713516,58322,211052,677,11,67,0.910380426,3205185,3363795,2,INCUMBENT,1,325296
2014,CA-49,"Peiser, Dave",DEM,1,14160.0,15160.0,15464.0,10490.15,11286.55,16260.4,94234.87,"Issa, Darrell",REP,0,39.8,60.2,133587.19,186952.74,326193.56,154270.13,3201744.24,3373667.67,3750000.87,1,711166,69082,149021,1498,4,1285,0.772475062,3190457,3357407,0,INCUMBENT,1,310729
2014,NJ-5,"Cho, Roy",DEM,1,121090.0,144590.0,144590.0,54333.86,268712.17,358968.31,1253537.22,"Garrett, Scott Rep.",REP,0,43.0,55.7,104521.0,198209.5,256538.29,70869.06,2996630.93,3182300.16,2078660.33,1,736245,90025,199917,1265,4,742,0.78749601,2727918,2823331,1,INCUMBENT,1,111948
2012,FL-18,"Murphy, Patrick",DEM,1,378703.53,507197.69,508659.0,263213.09,1042442.08,1287887.99,4752053.86,"West, Allen B Mr.",REP,0,50.3,49.7,2220974.83,2276916.63,2306432.04,1913841.56,3334632.29,3727222.77,19359330.67,0,701546,50253,204174,1058,3,463,0.805488165,2292190,2439334,2,INCUMBENT,1,1797773
2012,MI-6,"O'Brien, Michael Dennis",DEM,1,90594.73,95203.67,95203.67,5601.39,0.0,89602.28,293986.94,"Upton, Frederick Stephen",REP,0,42.7,54.5,257078.0,625663.38,627514.16,1008368.12,2269823.55,1888969.59,4129538.09,1,708717,45848,195931,685,1,199,0.852046727,2269823,1799367,2,INCUMBENT,1,532310
2014,OH-8,"Poetter, Thomas ",DEM,1,43195.0,43295.0,43295.0,14407.07,30805.92,59693.85,193360.14,"Boehner, John A.",REP,0,27.3,67.3,485350.84,870682.64,2331206.97,2551945.33,2197519.07,1976780.71,18372559.92,1,723551,50426,191808,724,15,295,0.89363984,2166713,1917086,2,INCUMBENT,1,2287911
2012,VA-7,"Powell, Ernest Wayne",DEM,1,80560.87,83960.87,146358.74,90286.98,48540.15,104611.91,971646.24,"Cantor, Eric Ivan",REP,0,41.4,58.6,144793.05,393293.05,543727.51,539252.66,2099394.47,2103869.32,7640467.43,1,745462,70048,203231,1065,10,268,0.766760747,2050854,1999257,2,INCUMBENT,1,397368
2014,KS-3,"Kultala, Kelly D",DEM,1,85813.61,86063.61,86063.61,47272.49,60800.37,99591.49,385817.43,"Yoder, Kevin",REP,0,39.8,60.2,111611.17,242611.17,242611.17,135289.09,2100892.99,2208215.07,2149036.16,1,731209,64341,189203,876,6,965,0.816737759,2040092,2108623,1,INCUMBENT,1,156547
