Sta,CD,label,pvi,Winner12,Margin12,Romney12,Obama12,Winner08,Margin08,McCain08,Obama08
AK,1,AK-1,R+12,Romney,-14,55,41,McCain,-22,59,38
AL,1,AL-1,R+15,Romney,-24,62,37,McCain,-23,61,38
AL,2,AL-2,R+17,Romney,-26,63,36,McCain,-29,64,35
AL,3,AL-3,R+16,Romney,-26,62,37,McCain,-26,63,37
AL,4,AL-4,R+28,Romney,-51,75,24,McCain,-47,73,26
AL,5,AL-5,R+17,Romney,-29,64,35,McCain,-26,62,36
AL,6,AL-6,R+28,Romney,-50,74,25,McCain,-49,74,25
AL,7,AL-7,D+20,Obama,-46,27,73,Obama,-44,28,72
AR,1,AR-1,R+14,Romney,-25,61,36,McCain,-19,58,39
AR,2,AR-2,R+8,Romney,-12,55,43,McCain,-10,54,44
AR,3,AR-3,R+19,Romney,-34,66,32,McCain,-30,64,34
AR,4,AR-4,R+15,Romney,-26,62,36,McCain,-23,60,37
AZ,1,AZ-1,R+4,Romney,-3,50,48,McCain,-3,51,48
AZ,2,AZ-2,R+3,Romney,-2,50,48,McCain,-1,50,49
AZ,3,AZ-3,D+8,Obama,-25,37,61,Obama,-18,41,58
AZ,4,AZ-4,R+20,Romney,-36,67,31,McCain,-30,64,34
AZ,5,AZ-5,R+17,Romney,-29,64,35,McCain,-26,63,36
AZ,6,AZ-6,R+12,Romney,-21,60,39,McCain,-17,58,41
AZ,7,AZ-7,D+16,Obama,-45,27,72,Obama,-31,34,65
AZ,8,AZ-8,R+15,Romney,-25,62,37,McCain,-22,61,38
AZ,9,AZ-9,R+1,Obama,-5,47,51,Obama,-4,47,51
CA,1,CA-1,R+10,Romney,-16,56,40,McCain,-11,55,43
CA,10,CA-10,R+1,Obama,-4,47,51,Obama,-3,48,50
CA,11,CA-11,D+17,Obama,-38,30,68,Obama,-41,29,69
CA,12,CA-12,D+34,Obama,-72,13,84,Obama,-72,13,85
CA,13,CA-13,D+37,Obama,-79,9,88,Obama,-78,10,88
CA,14,CA-14,D+23,Obama,-51,24,74,Obama,-51,24,75
CA,15,CA-15,D+16,Obama,-38,30,68,Obama,-37,31,68
CA,16,CA-16,D+7,Obama,-19,39,59,Obama,-18,40,58
CA,17,CA-17,D+20,Obama,-46,26,72,Obama,-42,28,70
CA,18,CA-18,D+18,Obama,-39,29,68,Obama,-43,27,71
CA,19,CA-19,D+19,Obama,-45,27,71,Obama,-40,29,69
CA,2,CA-2,D+20,Obama,-42,27,69,Obama,-46,26,72
CA,20,CA-20,D+21,Obama,-45,26,71,Obama,-46,26,72
CA,21,CA-21,D+2,Obama,-11,44,55,Obama,-6,46,52
CA,22,CA-22,R+10,Romney,-15,57,42,McCain,-13,56,43
CA,23,CA-23,R+16,Romney,-25,62,36,McCain,-25,61,37
CA,24,CA-24,D+4,Obama,-11,43,54,Obama,-16,41,57
CA,25,CA-25,R+3,Romney,-2,50,48,Obama,-1,49,49
CA,26,CA-26,D+4,Obama,-10,44,54,Obama,-15,41,56
CA,27,CA-27,D+11,Obama,-28,35,63,Obama,-26,36,62
CA,28,CA-28,D+20,Obama,-44,27,70,Obama,-45,27,71
CA,29,CA-29,D+25,Obama,-57,21,77,Obama,-53,23,75
CA,3,CA-3,D+3,Obama,-11,43,54,Obama,-13,43,55
CA,30,CA-30,D+14,Obama,-33,32,65,Obama,-34,32,66
CA,31,CA-31,D+5,Obama,-17,41,57,Obama,-15,41,57
CA,32,CA-32,D+12,Obama,-33,33,65,Obama,-27,36,62
CA,33,CA-33,D+11,Obama,-24,37,61,Obama,-30,34,64
CA,34,CA-34,D+30,Obama,-69,14,83,Obama,-61,18,79
CA,35,CA-35,D+15,Obama,-37,31,67,Obama,-33,33,65
CA,36,CA-36,R+1,Obama,-3,48,51,Obama,-3,48,51
CA,37,CA-37,D+34,Obama,-72,13,85,Obama,-73,13,85
CA,38,CA-38,D+12,Obama,-32,33,65,Obama,-25,36,62
CA,39,CA-39,R+5,Romney,-4,51,47,McCain,-3,50,48
CA,4,CA-4,R+10,Romney,-18,58,40,McCain,-11,55,43
CA,40,CA-40,D+29,Obama,-65,17,82,Obama,-59,20,79
CA,41,CA-41,D+9,Obama,-25,36,62,Obama,-21,39,59
CA,42,CA-42,R+10,Romney,-15,57,41,McCain,-11,55,44
CA,43,CA-43,D+26,Obama,-58,20,78,Obama,-55,22,76
CA,44,CA-44,D+32,Obama,-71,14,85,Obama,-67,16,83
CA,45,CA-45,R+7,Romney,-12,55,43,McCain,-4,51,47
CA,46,CA-46,D+9,Obama,-25,36,61,Obama,-20,39,59
CA,47,CA-47,D+8,Obama,-23,38,60,Obama,-19,39,58
CA,48,CA-48,R+7,Romney,-12,55,43,McCain,-5,51,46
CA,49,CA-49,R+4,Romney,-7,52,46,Obama,-1,49,50
CA,5,CA-5,D+19,Obama,-42,27,70,Obama,-44,27,71
CA,50,CA-50,R+14,Romney,-23,60,38,McCain,-19,59,40
CA,51,CA-51,D+16,Obama,-41,29,69,Obama,-34,32,66
CA,52,CA-52,D+2,Obama,-6,46,52,Obama,-12,43,55
CA,53,CA-53,D+10,Obama,-25,36,61,Obama,-25,37,62
CA,6,CA-6,D+18,Obama,-41,28,69,Obama,-39,30,68
CA,7,CA-7,R+0,Obama,-4,47,51,Obama,-5,46,52
CA,8,CA-8,R+10,Romney,-14,56,42,McCain,-13,55,42
CA,9,CA-9,D+6,Obama,-18,40,58,Obama,-16,41,57
CO,1,CO-1,D+18,Obama,-40,29,69,Obama,-43,28,71
CO,2,CO-2,D+8,Obama,-18,40,58,Obama,-24,37,61
CO,3,CO-3,R+5,Romney,-6,52,46,McCain,-2,50,49
CO,4,CO-4,R+11,Romney,-19,59,39,McCain,-14,56,42
CO,5,CO-5,R+13,Romney,-21,59,38,McCain,-19,59,40
CO,6,CO-6,D+1,Obama,-5,47,52,Obama,-9,45,54
CO,7,CO-7,D+5,Obama,-15,42,56,Obama,-17,41,57
CT,1,CT-1,D+13,Obama,-28,36,63,Obama,-33,33,66
CT,2,CT-2,D+5,Obama,-13,43,56,Obama,-18,40,59
CT,3,CT-3,D+11,Obama,-26,36,63,Obama,-26,36,63
CT,4,CT-4,D+5,Obama,-11,44,55,Obama,-20,40,60
CT,5,CT-5,D+3,Obama,-8,45,54,Obama,-14,42,56
